Haplotype,IHH,Frequency,AO coluzzii,BF coluzzii,GW,GN gambiae,BF gambiae,CM gambiae,GA gambiae,UG gambiae,KE
F1,523012,468,94,116,0,62,162,34,0,0,0
F5,648911,188,0,0,0,0,0,164,24,0,0
S3,650208,153,0,0,0,0,0,0,0,98,55
S1,819768,108,0,0,0,0,0,0,0,108,0
S2,537828,79,0,0,0,0,0,8,71,0,0
F3,700177,51,0,0,0,0,0,51,0,0,0
L1,26950,51,0,0,8,0,0,43,0,0,0
L2,57645,38,0,0,5,0,0,28,0,0,5
L3,26806,37,0,0,37,0,0,0,0,0,0
F4,664128,37,1,0,0,0,0,20,16,0,0
S4,581572,37,0,0,0,0,0,37,0,0,0
S5,477278,36,0,0,0,0,0,36,0,0,0
L4,169652,23,0,0,0,0,0,23,0,0,0
L5,277033,21,0,0,5,0,0,0,0,0,16
L6,255241,20,0,19,1,0,0,0,0,0,0
L7,39153,20,0,0,6,0,0,14,0,0,0
L8,73830,20,0,0,5,0,0,15,0,0,0
L9,26091,20,0,0,0,0,0,20,0,0,0
F2,679165,14,0,0,0,0,0,14,0,0,0
